proper names,WGSN-id,Designation,HIP,Bayer ID,Simbad spelling,Constellation,Origin,Ethnic-Cultural_Group_or_Language,Reference,Date of Adoption 
Nikawiy,10084,HD 136418,74961,,Nikawiy,Boo,Nikawiy is the word for mother in the Indigenous Cree language of Canada.,Cree language,2019 IAU100 NameExoWorlds,12/17/2019
Nosaxa,10028,HD 48265,31895,,Nosaxa,Pup,"Nosaxa means spring in the Moqoit language. The word comes from a combination of nosahuec, which means renew, and ñaaxa, which means year.",Moqoit,2019 IAU100 NameExoWorlds,12/17/2019
Nushagak,10010,HD 17156,13192,,Nushagak,Cas,"Nushagak is a regional river near Dilingham, Alaska, which is famous for its wild salmon that sustain local Indigenous communities.",NEWC,2019 IAU100 NameExoWorlds,12/17/2019
Nyamien,10076,WASP-15,,,Nyamien,Cen,Nyamien refers to the supreme creator deity of Akan mythology.,NEWC,2019 IAU100 NameExoWorlds,12/17/2019
Parumleo,10000,WASP-32,,,Parumleo,Psc,"Parumleo is a modern Pseudo-Latin term with the intended meaning ""little lion"", symbolising Singapore's struggle for independence. The name is a modern invention.",Latin,2019 IAU100 NameExoWorlds,12/17/2019
Petra,10109,WASP-80,,,Petra,Aql,Petra is a historical and archaeological city in southern Jordan and a UNESCO World Heritage site.,Greek,2019 IAU100 NameExoWorlds,12/17/2019
Phoenicia,10111,HD 192263,99711,V1703 Aql,Phoenicia,Aql,Phoenicia was an ancient thalassocratic civilisation of the Mediterranean that originated from the area of modern-day Lebanon.,Latin,2019 IAU100 NameExoWorlds,12/17/2019
Pincoya,10102,HD 164604,88414,,Pincoya,Sgr,Pincoya is a female water spirit from southern Chilean mythology who is said to bring drowned sailors to the Caleuche so that they can live in the afterlife.,NEWC,2019 IAU100 NameExoWorlds,12/17/2019
Pipoltr,10101,TrES-3 Parent Star,,V1434 Her,Pipoltr,Her,"In the local Triesenberg dialect of German, Pipoltr is a bright and visible butterfly, alluding to the properties of a star.",German,2019 IAU100 NameExoWorlds,12/17/2019
Poerava,10123,HD 221287,116084,,Poerava,Tuc,Poerava is the word in the Cook Islands Maori language for a large mystical black pearl of utter beauty and perfection.,Cook Islands Maori,2019 IAU100 NameExoWorlds,12/17/2019
Rapeto,10096,HD 153950,83547,,Rapeto,Sco,Rapeto is a giant creature from Malagasy tales.,Malagasy,2019 IAU100 NameExoWorlds,12/17/2019
Rosalíadecastro,10091,HD 149143,81022,,Rosalíadecastro,Oph,"Rosalia de Castro was a significant figure of Galician culture and prominent Spanish writer, whose pioneeting work often referenced the night and celestial objects.",NEWC,2019 IAU100 NameExoWorlds,12/17/2019
Sagarmatha,10061,HD 100777,56572,,Sagarmatha,Leo,Sagarmatha is the Nepali name for the highest peak in the world (also known as Mount Everest) and symbol of national pride of Nepal.,Nepali,2019 IAU100 NameExoWorlds,12/17/2019
S?maya,10114,HD 205739,106824,,Samaya,PsA,S?maya means peace in the Sinhalese language.,Sinhalese,2019 IAU100 NameExoWorlds,12/17/2019
Sansuna,10110,HAT-P-34,,,Sansuna,Sge,Sansuna is the name of the mythological giant from traditional Maltese folk tales that carried the stones of the Gozo megalithic temples on her head.,Maltese,2019 IAU100 NameExoWorlds,12/17/2019
Shama,10060,HD 99109,55664,,Shama,Leo,"Shama is an Urdu literary term meaning a small lamp or flame, symbolic of the light of the star.",Urdu,2019 IAU100 NameExoWorlds,12/17/2019
Sharjah,10088,HIP 79431,79431,,Sharjah,Sco,"Sharjah is the cultural capital of United Arab Emirates, and considered the city of knowledge due to its many educational centers, institutes, museums, libraries and heritage centers.",Arabic,2019 IAU100 NameExoWorlds,12/17/2019
Sika,10107,HD 181720,95262,,Sika,Sgr,Sika means gold in the Ewe language and gold is one of Ghana's principal exports.,Ewe,2019 IAU100 NameExoWorlds,12/17/2019
Solaris,10117,BD+14 4559,104780,,Solaris,Peg,Solaris is the title of a 1961 science fiction novel about an ocean-covered exoplanet by Polish writer Stanislaw Lem.,fictional,2019 IAU100 NameExoWorlds,12/17/2019
Sterrennacht,10129,HAT-P-6,,,Sterrennacht,And,The Sterrennacht (Starry Night) is a world-famous painting by Dutch grand master Van Gogh that was painted in France in 1889 and now belongs to the permanent collection of New York's Museum of Modern Art.,Dutch,2019 IAU100 NameExoWorlds,12/17/2019
Stribor,10042,HD 75898,43674,,Stribor,Lyn,"Stribor is God of winds in Slavic mythology, as well as a literature character in the book Pri?e iz davnine (Croatian Tales of Long Ago) by the Croatian author Ivana Brli?-Mažurani?.",Slavic languages,2019 IAU100 NameExoWorlds,12/17/2019
Taika,10119,HAT-P-40,,,Taika,Lac,Taika means peace in the Lithuanian language.,Lithuanian,2019 IAU100 NameExoWorlds,12/17/2019
Tangra,10125,WASP-21,,,Tangra,Peg,Tangra is the supreme celestial god that early Bulgars worshiped.,Bulgarian,2019 IAU100 NameExoWorlds,12/17/2019
Tapecue,10034,HD 63765,38041,,Tapecue,Car,Tapecue means eternal path in Guarani and represents the Milky Way through which the first inhabitants of the Earth arrived and could return.,Guarani,2019 IAU100 NameExoWorlds,12/17/2019
Tevel,10036,HAT-P-9,,,Tevel,Aur,"Tevel means Universe or everything and begins with the letter Taf, the last letter in the Hebrew alphabet.",Hebrew,2019 IAU100 NameExoWorlds,12/17/2019
Timir,10089,HD 148427,80687,,Timir,Oph,"Timir means darkness in Bengali language, alluding to the star being far away in the darkness of space.",Bengali,2019 IAU100 NameExoWorlds,12/17/2019
Tislit,10044,WASP-161,,,Tislit,Pup,Tislit is the name of a lake in the Atlas mountains of Morocco. It means the bride in the Amazigh language and it is associated with a heartbroken beautiful girl in an ancient local legend.,Amazigh,2019 IAU100 NameExoWorlds,12/17/2019
Tojil,10018,WASP-22,,,Tojil,Eri,"Tojil is the name of one of the Mayan deities related to rain, storms, and fire.",Mayan,2019 IAU100 NameExoWorlds,12/17/2019
Tuiren,10069,HAT-P-36,,,Tuiren,CVn,"Tuiren was the aunt of the hunterwarrior Fionn mac Cumhaill of Irish legend, who was turned into a hound by the jealous fairy Uchtdealbh.",Old Irish,2019 IAU100 NameExoWorlds,12/17/2019
Tupã,10067,HD 108147,60644,,Tupa,Cru,Tupã is one of four principle gods of the Guarani Cosmogony in popular Paraguayan folklore that helped the supreme god Ñamandu to create the Universe.,Guarani,2019 IAU100 NameExoWorlds,12/17/2019
Tupi,10017,HD 23079,17096,,Tupi,Ret,"Tupi is the name of the most populous Indigenous People living on the eastern coast of South America, before the Portuguese arrived in the 16th century.",Tupi languages,2019 IAU100 NameExoWorlds,12/17/2019
Uklun,10062,HD 102117,57291,,Uklun,Cen,Uklun means us or we in the Pitkern language of the people of Pitcairn Islands.,Pitkern,2019 IAU100 NameExoWorlds,12/17/2019
Uruk,10108,HD 231701,96078,,Uruk,Sge,Uruk was an ancient city of the Sumer and Babylonian civilizations in Mesopotamia situated along an ancient channel of the Euphrates river in modern-day Iraq.,Akkadian,2019 IAU100 NameExoWorlds,12/17/2019
Xihe,7058,HD 173416,91852,,Xihe,Lyr,Xihe (??) is the goddess of the sun in the Chinese mythology and also represents the earliest astronomers and developers of calendars in ancient China.,Chinese,2019 IAU100 NameExoWorlds,12/17/2019
Gudja,5888,HR 5879,77450,? Ser,Gudja,Ser,"Gudja is the Wardaman name of ? Ser, from the Northern Territory, Australia. Gudja is a Water Goanna, related to birth and rebirth. It is part of the bright trio of stars in Serpens Caput, which also include Munin the Rock Cod (? Ser) and the Mungamungga birthing place (? Ser), likened to a little hospital. Gudja is involved with the birthing process, which includes sacred ritual practices. The Spiritual Women at the birthing and blessing site in Serpens Caput are connected to the sacred areas of Crux and enacted at Munin Rock and Yinggalarri.",Aboriginal/ Wardaman,"Cairns, H. and Harney, B.Y. (2003) Dark Sparklers - Yidumduma's Aboriginal Astronomy. H.C. Cairns, Merimbula, NSW. pp. 107-113.",8/10/2018
Guniibuu,6441,* 36 Oph,84405,36 Oph,Guniibuu,Oph,Guniibuu is the Kamilaroi/Euahlayi name for the robin red-breast bird (Petroica boodang). A traditional story links Guniibuu with Gidjirrigaa (Budgerigar) the star ? Sco.,Aboriginal/ Kamilaroi/ Euahlayi,"Fuller, R.S. (2018) Aboriginal Astronomy: The Kamilaroi and Euahlayi Peoples. Brochure accompanying planisphere for school education based on knowledge from Euahlayi elder Ghillar Michael Anderson. http://www.aboriginalastronomy.com.au/content/community/kamilaroi/",8/10/2018
Imai,4663,HR 4656,59747,? Cru,Imai,Cru,"The Mursi name a line of four stars imai (? Cru), thaadoi (? Cru), waar (? Cen) and sholbi (? Cen). Their successive disappearance (heliacal setting) are used to determine when the River Omo will flood (it does this several times) and hence to determine when to plant the annual crop of cowpeas beside it (after the last flood but before the ground dries out). Imai is the Mursi name for the grass that grows along the banks of the river (Rhynchelytrum repens). It is said that when the imai star disappears, the Omo rises high enough to flatten the imai grass.",African/ Mursi,"Turton and Ruggles (1978), ""Agreeing to Disagree: the measurement of duration in a south-western Ethiopian community"", Current Anthropology, 19 (1978), 585-600.",8/10/2018
La Superba,4854,HR 4846,62223,Y CVn,La Superba,CVn,"In 1868 Secchi used ""superba"" as an adjective to describe the star Y CVn, not as a proper name of the star. However, in 1876 Birmingham seems to have borrowed from Secchi this term and used it as a proper name of the star. As a consequence, in 1877 Secchi himself adopted the same name. Agnes Clerke attributed the term to Secchi, without distinguishing between the adjective and the name. In principle, it should be attributed to both Secchi and Birmingham, in my opinion.",Latin,"Email from Ileana Chinnici, biographer of Secchi, to Ian Ridpath 2024 October 14.",8/10/2018
Paikauhale,6183,HR 6165,81266,? Sco,Paikauhale,Sco,"Au-haele, H?k?-‘ula and Paikauhale are documented as three stars in a line, running from north to south. Two of the most reliable sources—Mary Puku‘i and Rubellite Johnson—both identify H?k?-‘ula as Antares (? Sco), which makes Au-haele Alniyat (? Sco) and Paikauhale ? Sco.",Hawaii'ian,"Johnson, Mahelona and Ruggles (2015), N? Inoa H?k?, p. 201",8/10/2018
Toliman,5459,HR 5460,71681,? Cen,Toliman,Cen,"Applied in recent times from some pre-Islamic Arabian name al-zulman, ""the Ostriches."" Stars in today's Centaurus were variously identified with one or more ostriches by the pre-Islamic Arabians, but what star or stars were originally designated is unknown.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",8/10/2018
Alpherg,466,HR 437,7097,? Psc,Alpherg,Psc,,Arabic,--,6/1/2018
Alruba,6652,HR 6618,86782,,Alruba,Dra,"Arabic ????? Al Ruba? translates ""the foal"" and specifically refers to a young camel born in the spring. The name was considered traditional by WGSN in 2018 as it is listed in Allen (1899).",Arabic,"Allen (1899, 211)",6/1/2018
Ashlesha,3465,HR 3482,43109,? Hya,Ashlesha,Hya,??le?? (???????) is the Sanskrit name for an asterism in Hydra. It is considered one of the traditional Nak?atras (lunar stations).,Indian,--,6/1/2018
Azmidi,3016,HR 3045,38170,? Pup,Azmidi,Pup,"The name is an abbreviated misspelling of a Greek term. In the Almagest, the third star in Argo is called ""The northernmost of the 2 stars close together over the little shield in the poop."" The 'little shield' in Greek is ????????? (Aspidiske), sometimes misspelled Azmidi(ske), and the asterism may or may not consist of stars, while the Almagest lists ? and ? Pup ""above"" it. According to Allen (1899) The Century Atlas (1897) by Benjamin E. Smith registers ? Arg (now Car) with the name ""Aspidiske"".",Greek,"cf. Allen (1899, 74), Heiberg and Ptolemy (18.., 146), Toomer and Ptolemy (1984, 388)",6/1/2018
Bunda,8243,HR 8264,106786,? Aqr,Bunda,Aqr,Bunda is a Persian lunar mansion.,Persian,--,6/1/2018
Elgafar,5405,HR 5409,70755,? Vir,Elgafar,Vir,"This name is a rare transliteration of Arabic ????? al-ghafr (or ""El-?afr""), The Cover. This transliteration was used by Ideler (1809) but is uncommon today except in the Arabic Maghreb (northwest Africa). It is the name of the 15th lunar station (5 Oct).",Arabic,--,6/1/2018
Elkurud,2174,HR 2177,29034,? Col,Elkurud,Col,"Early Arab poets referred to a number of anonymous stars as ?????? al-fur?d, ""the solitary ones"". Besides this known name, Allen (1899) suggested that al-fur?d might have been an old transcriber's error for ?????? al-qur?d ""the apes"", which he rendered ""Al ?ur?d"". Although this idea did not receive scholarly support, WGSN used the rare transliteration Elkurud for this star, as ""Furud"" was already chosen for ? CMa.",Arabic,--,6/1/2018
Fawaris,7517,HR 7528,97165,? Cyg,Fawaris,Cyg,"al-Faw?ris (???????), ""the Riders"" is an in indigenous Arabic asterism consisting of at least four stars. WGSN applied the name of the group to one of its members that now preserves (pars pro toto) the Indigenous heritage.",Arabic,"Allen (1899, 195).",6/1/2018
Felis,3894,HR 3923,48615,,Felis,Hya,Felis (The Cat) is the name of a constellation invented by Lalande. The name is applied to one star in the area that the constellation covered.,Latin,http://www.ianridpath.com/startales/felis.html,6/1/2018
Fumalsamakah,8749,HR 8773,113889,? Psc,Fumalsamakah,Psc,"Arabic ?? ?????? fum al-samakah means ""mouth of the fish"". The name was considered traditional by the IAU in 2016, although it does not appear in Kunitzsch and Smart (2006) and not in Allen (1899).",Arabic,--,6/1/2018
Heze,5113,HR 5107,66249,? Vir,Heze,Vir,"Name of unknown etymology from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Be?vá? (1901-1965). It could refer to God, possibly derived from Ezechiel (one of four prophets from Old Testament). Transcription to the Greek language adds ""H"" to EZE.",Greco-Hebrew,"Be?vá?, A. (1948) Atlas coeli Skalnaté Pleso. Praha: P?írodov?cké Vydavatelství",6/1/2018
Kraz,4793,HR 4786,61359,? Crv,Kraz,Crv,"Name of unknown etymology from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Be?vá? (1901-1965).",unknown,"Be?vá?, A. (1948) Atlas coeli Skalnaté Pleso. Praha: P?írodov?cké Vydavatelství",6/1/2018
Nahn,3607,HR 3627,44946,? Cnc,Nahn,Cnc,"""Nahn"", the Persian term for ""Nose"", given to ? Cnc in the NASA Memorandum by Rhoads (1971).",Persian,Rhoads (1971),6/1/2018
Okab,7245,HR 7235,93747,? Aql,Okab,Aql,"Zeta and Epsilon Aquilae together bore the traditional name Deneb el Okab, from an Arabic term ??? ?????? Dhanab al-?uq?b ""the tail of the eagle"".",Arabic,--,6/1/2018
Piautos,3255,HR 3268,40881,? Cnc,Piautos,Cnc,"piautos (???????) is a composition from Greek autos (""self"") and Coptic pi- (""that"") meaning ""the same one"". It occurred in a Coptic manuscript on lunar stations. Coptic is the ancient Egyptian language written in Greek letters, but lunar stations were uncommon for both the Greek and Egyptian culture. Hence, the origin of this term remains unknown.",Coptic,--,6/1/2018
Tarf,3228,HR 3249,40526,? Cnc,Tarf,Cnc,"Arabic: ?????, Al-?arf (The eyes of the lion) is one of the traditional ""Lunar Stations"". It is composed of the 2 stars: ? Leo and ? Leo. However, the name has been in common use for ? Cnc as it was published in the Yale Bright Star Catalogue.",Arabic,"Hoffleit, D.; Warren, W. H. (1995). ""VizieR Online Data Catalog: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)"". VizieR On-line Data Catalog: V/50. Originally Published in: 1964BS....C......0H. 5050. Bibcode:1995yCat.5050....0H.",6/1/2018
Ukdah,3818,HR 3845,47431,? Hya,Ukdah,Hya,"Kazwini knew the stars tau1, tau2 Hya as ???? ?uqdah (or ?u?dah), Arabic ""knot"". Rhoads (1971) considers this asterism consisting of four stars: tau1, tau2, 33 and ? Hya.",Arabic,Rhoads (1971),6/1/2018
Ginan,4704,HR 4700,60260,? Cru,Ginan,Cru,"Ginan is the Wardaman name of ? Cru, from the Northern Territory, Australia. Ginan was found by Mulugurnden (the crayfish), who brought the red flying foxes from the underworld to the sky. The bats flew up the track of the Milky Way and traded the spiritual song with Guyaru, the Night Owl (Sirius). The bats fly through the constellation Scorpius on their way to the Southern Cross, trading songs as they go. The song informs the people about initiation, which is managed by the stars in Scorpius and related to Larawag (who ensures the appropriate personnel are present for the final stages of the ceremony). The colour of the star is reflected as the brownish-red colour of the dilly bag and its association with ceremonial fire.",Aboriginal/ Wardaman,"Cairns, H. and Harney, B.Y. (2003) Dark Sparklers - Yidumduma's Aboriginal Astronomy. H.C. Cairns, Merimbula, NSW, pp. 147-149, 153.",11/17/2017
Larawag,6268,HR 6241,82396,? Sco,Larawag,Sco,"Larawag is the Wardaman name of ? Sco, from the Northern Territory, Australia. Larawag is part of a procession of beings along the curve of stars in Scorpius, acting as the signal watcher, noting when only legitimate participants are present and in view of the ceremony. He gives the “All clear” signal, allowing the secret part of the ceremony to continue. This procession is related to the bats that carry Ginan.",Aboriginal/ Wardaman,"Cairns, H. and Harney, B.Y. (2003) Dark Sparklers - Yidumduma's Aboriginal Astronomy. H.C. Cairns, Merimbula, NSW, pp. 147-149.",11/17/2017
Wurren,357,HR 338,5348,? Phe,Wurren,Phe,"Wurren is the Wardaman name of ? Phe, from the Northern Territory, Australia. Wurren means “child” and refers to the “Little Fish”, a child of Dungdung – the life-creating Frog Lady. Wurren gives water to Gawalyan, the echidna (Achernar), which they direct Earthly initiates to carry in small bowls. The water came from a great waterfall used to cool the people during the ceremony. Just as the water at the base of the waterfall keeps people cool and rises to the sky as mist, the water in the initiates’ bowls keeps them cool and symbolically transforms into clouds that bring the wet rains of the monsoon season. These ceremonies occur in late December when the weather is hot and these stars are high in the evening sky, signalling the start of the monsoon.",Aboriginal/ Wardaman,"Cairns, H. and Harney, B.Y. (2003) Dark Sparklers - Yidumduma's Aboriginal Astronomy. H.C. Cairns, Merimbula, NSW, pp. 200, 204.",11/17/2017
Achird,257,HR 219,3821,? Cas,Achird,Cas,"The proper name Achird was apparently first applied to Eta Cassiopeiae in the Skalnate Pleso Atlas of the Heavens published in Slovacia in 1950, but is not known prior to that.",Contemporary,--,9/5/2017
Ainalrami,7147,HR 7116,92761,?1 Sgr,Ainalrami,Sgr,Arabic ??? ?????? ?ain al-r?m? (simplified Ainalrami) means The Eye of the Archer. It originates from Arabic Almagest translations.,Arabic,--,9/5/2017
Aladfar,7302,HR 7298,94481,? Lyr,Aladfar,Lyr,"Aladfar derives from the Arabic ?????? al-?u?fur ""the talons (of the swooping [eagle])"" which designates and asterism consisting of µ and ? Lyr. It was made popular by Allen.",Arabic,"Allen (1899, 288)",9/5/2017
Albaldah,7280,HR 7264,94141,? Sgr,Albaldah,Sgr,"The name of the 21st Arabic lunar station, ??????, Al-Baldah (The empty area), designates a starless region between ? Sgr and ? Cap; the star ? Sgr is at its northern edge and was wrongly attributed with this name by Allen (1899, 359).",Arabic,--,9/5/2017
Aldhanab,8338,HR 8353,108085,? Gru,Aldhanab,Gru,"Al Dhanab from Arabic ?? ??? (adh-dhanab), The Tail, became common since its mentioning in Allen (1899). There it is attributed to a Persian astronomer but the whole constellation Grus is a constellation invented in the Early Modern Era.",Arabic,"Allen (1899, 238)",9/5/2017
Aldhibah,6408,HR 6396,83895,? Dra,Aldhibah,Dra,"? and ? Draconis together had been considered the asterism of ?????, al-dhi?b, Two Hyenas or Two Wolfs that are lurking for the Camel's Foal that is protected by its mother (other stars in Draco).",Arabic,"Allen (1899, 210)",9/5/2017
Aldulfin,7843,HR 7852,101421,? Del,Aldulfin,Del,"Arabic scholarship adopted the Greek loanword ""dulfim"" or ""dulfin"" (with article: ad-dulfin or simplified adulfin) for the marine mammal. The star ? Del at the dorsal fin of the Ptolemaic (smaller than ancient Greek) figure was called Al Dhanab al Dulfim (the Dolphin's Tail) and as there are many stars named with the Arabic root for ""tail"", WGSN adopted only the last part of the name.",Arabic,"Allen (1899, 201)",9/5/2017
Alkaphrah,3579,HR 3594,44471,? UMa,Alkaphrah,UMa,"corrupted spelling of Arabic ?????? al-qafzah ""the leap"" of the Indigenous Arabic group of gazelle asterisms preserved in Ibn Qutaybah.",Arabic,--,9/5/2017
Alkarab,8868,HR 8905,115623,? Peg,Alkarab,Peg,"traditional Arabic name Al Karab, The Bucket-rope, was an asterism consisting of ? and ? Peg",Arabic,"Allen (1899, 329)",9/5/2017
Alsephina,3132,HR 3485,42913,? Vel,Alsephina,Vel,"The term is Arabic for ""The Ship"". It originates from the translation of Greek knowledge to Arabic when Argo Navis (The Ship Argo) was translated to Arabic and, thus, originally referred to the whole constellation rather than any specific star.",Arabic,--,9/5/2017
Athebyne,6117,HR 6132,80331,? Dra,Athebyne,Dra,"The transliteration Athebyne is one of several renderings of the Arabic asterism name ??????? al-dhi?bayn, ""the (two) wolves"" (? and ? Draconis) aiming at the Camel's Foal (group of northern asterisms).",Arabic,--,9/5/2017
Brachium,5604,HR 5603,73714,? Lib,Brachium,Lib,"For Bayer (1603), this star is ? Scorpii with no proper name but in the register for the Scorpius-star chart, he lists ""Virgilius brachium"" among other (Greek and Arabic) designations for this star. Allen (1899, 368/9) that Vergil had not meant it as a star name but only as a marker for the ""claws"", so it was never meant as a proper name.",Graeco-Latin,"Allen (1899), Bayer (1603)",9/5/2017
Castula,298,HR 265,4422,?2 Cas,Castula,Cas,"Castula is Latin for a type of woman's tunic. Bayer (1603, Uranometria) attributes the name ""castulum"" to Nonius (Portugese scholar Pedro Nunez, 1502-1578), with the Greek alias ??????? for a ribbon.",Latin,Johann Bayer (1603). Uranometria.,9/5/2017
Chamukuy,1451,HR 1412,20894,?2 Tau,Chamukuy,Tau,"The Yucatec Maya identify Theta Tauri as chamukuy, the name of a small bird.",Yucatec,"Milbrath, Susan (1999). Star Gods of the Maya. p.253.; Sosa, John (1985). The Maya Sky, the Maya World: A Symbolic Analysis of Yucatec Maya Cosmology. p.341.",9/5/2017
Dalim,998,HR 963,14879,? For,Dalim,For,"The name was introduced for the star by Piazzi (1814) originating from the Indigenous Arabian asterism  ?????? al-?al?m, The Ostrich, seen in various stars (e.g. Fomalhaut, theta Eridani)",Arabic,Piazzi (1814),9/5/2017
Dziban,6635,HR 6636,86614,?1 Dra,Dziban,Dra,"Dsiban, from Al Dhibain (the Arabs' title for ? and ?), has been given by some to this pair [?1, ?2 Dra].",Arabic,"Allen (1899, 212)",9/5/2017
Hatysa,1921,HR 1899,26241,? Ori,Hatysa,Ori,"Name of unknown etymology from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Be?vá? (1901-1965).",unknown,"Be?vá?, A. (1948) Atlas coeli Skalnaté Pleso. Praha: P?írodov?cké Vydavatelství",9/5/2017
Iklil,5942,HR 5928,78104,? Sco,Iklil,Sco,"the name derives from the Arabic lunar mansion ""Iklil"" (Arabic: ???????), ""The ornamented headband"" (or: diadem) composed of the 3 stars ?1, ? and ? Sco; here misapplied to ? Sco.",Arabic,--,9/5/2017
Khambalia,5353,HR 5359,69974,? Vir,Khambalia,Vir,"The Coptic (Egyptian) term Khambalia means ""Crooked-clawed"" (perhaps designating an agricultural device or symbol of secret knowledge); it was used in mantic texts for the star in the foot of Virgo.",Coptic,Greswell (1852),9/5/2017
Lilii Borea,864,HR 824,13061,39 Ari,Lilii Borea,Ari,"Lacaille used the now obsolete constellation Lilium (The Lily) and named this star ""in the north of Lily"", in Latin: Lilii Borea",Latin,"Lacaille, N.L. de (1757) Astronomiae fundamenta novissimis Solis et stellarum observationibus stabilita Lutetiæ in collegio Mazarinæo et in Africa ad Caput Bonæ Spei peractis. p.233.",9/5/2017
Markeb,3695,HR 3734,45941,? Vel,Markeb,Vel,"Evidently from the Arabic word markab, ""a ship or any vehicle,"" presumably standing for the Greek constellation name Argo. However, Arabic sources do not mention markab for Argo, only al-safina (""the Ship""), hence the ultimate origin of the name remains a mystery. ""Markeb"" was applied as a star name to ? Pup in medieval times, to ? Pup in Early Modern rimes, and finally to ?  Vel in recent times when Argo was divided into its four modern constellations",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",9/5/2017
Meleph,3418,HR 3429,42556,? Cnc,Meleph,Cnc,"Bayer (1603) quotes Arabic designations Melleff and Meeleph for this star (among others) which was adopted by other astronomers (e.g. Riccioli) and goes back to the Arabic term Al Ma'laf, The Stall (a variant of the Greek Manger).",Arabic,Bayer (1603),9/5/2017
Meridiana,7277,HR 7254,94114,? CrA,Meridiana,CrA,"The Latin-Arabic name ""Alfecca meridiana"" is mentioned in Allen (1899, 173). There, it is attributed to ""Reduan"" (sic!) = Ali bin Radwan's commentary to his Tetrabiblos translation (10th century). Arabic  ??? ?????? nayyir al-fakka ""the bright (star) of the broken (dish)"" in analogy to the Arabic term for CrB. WGSN chose only the second (Latin) term: ""Meridiana"", the southern (one of the two Alfeccas).",Latin,"Allen (1899, 173) with additional research by WGSN",9/5/2017
Minchir,3393,HR 3418,42402,? Hya,Minchir,Hya,"Minchir appeared in Bode's 1801 Uranographia rooting in the Arabic term ???? ?????? minkhar ash-shuj?? ""the nostril brave one"" in Hydra.",Arabic,Bode (1801),9/5/2017
Miram,880,HR 834,13268,? Per,Miram,Per,"perhaps a misspelling of the Arabic term ??????? mi??am, The Wrist, which was used for naming ? Per ""Misam"" in the CSN.",Arabic,--,9/5/2017
Misam,982,HR 941,14668,? Per,Misam,Per,"the Arabic term ??????? mi??am, The Wrist, was originally a name of ? Per (Almagest: ""the right hand"" of the Hero) and considered the Wrist of Thurayya (the Pleiades) for the Arabs.",Arabic,--,9/5/2017
Nembus,502,HR 464,7607,51 And,Nembus,And,"Name appears in Bayer's (1603) Uranometria for Upsilon Per (later designated 51 And), which he states is of Arab origin, however the name appears to be Latin not Arabic. From the description it appears that the name appears to be connected with the adamntine harpe sword Perseus used to decapitate Medusa.",Latin?,"Bayer (1603, 11), Bode (1801)",9/5/2017
Nganurganity,2628,HR 2646,33856,? CMa,Nganurganity,CMa,"Nganurganity [??anu????ani??] is the ""Jacky lizard"" in the culture of the Boorong, a clan of the indigenous Maligundidj people of northwestern Victoria in Australia, who saw it as an ancestral figure who fights the moon, flanked by two wives, represented by stars on either side of him (? CMa and ? CMa). The Moon is Mityan, the quoll. Mityan fell in love with one of the wives of Unurgunite and tried to lure her away. Unurgunite discovered Mityan’s trickery and attacked him, leading to a great fight in which Mityan was defeated. The Moon has been wandering the heavens ever since, the scars of the battle still visible on his face as maria. One of the wives (? CMa) lies further away from Unurgunite and is closer to the Moon than the other wife (? CMa). This is the wife Mityan tried to lure away. The name was listed as Unurgunite in Stanbridge(1857/61), for initial ng-, which does not occur in English, was typically ignored in transcription of that era. WGSN corrects the spelling.",Aboriginal/ Boorong,"Stanbridge(1861) Stanbridge, W.E. (1857) On the Astronomy and Mythology of the Aborigines of Victoria. Transactions of the Philosophical Institute of Victoria, Vol. 2, pp. 137-140.",9/5/2017
Pipirima,6285,HR 6252,82545,?2 Sco,Pipirima,Sco,"There are many versions of a widespread Polynesian story of two children fleeing their uncaring parents to become two shining stars, the stars themselves being variously recorded as Castor and Pollux (? and ? Gem), Shaula and Lesath (? and ? Sco), ? and ? Sco, and µ¹ and µ² Sco as well as [possibly] ?¹ and ?² Sco. In Tahiti, Pipiri was the twin brother of Rehua: Pipiri ma refers to the two together, ma ""with, and"" being used after names to mean ""et al."". Calderon identifies the two children as µ¹ and µ² Sco, their mother being Shaula (? Sco) and their father Lesath (? Sco).",Tahitian,"Calderon, George (Tihoti) (1921). Tahiti. p.173; Makemson, Maud (1941). The Morning Star Rises. p.243-244 #482",9/5/2017
Polaris Australis,8079,HR 7228,104382,? Oct,Polaris Australis,Oct,"the term literally means ""South Pole"" and was first used for the star in the 18th century.",Latin,--,9/5/2017
Polis,6858,HR 6812,89341,? Sgr,Polis,Sgr,"the term in Coptic means ""a foal."" It was originally used for stars in the bow of the Archer but was moved over time.",Coptic,Greswell (1852),9/5/2017
